dx, dy, measured_x, measured_y
0.1 , 1.4, 0.36, 1.31
0.15, 1.4, 0.49, 1.42
0.2,  1.4, 0.55, 1.47
0.3,  1.4, 0.64, 1.56
0.4,  1.4, 0.75, 1.63
0.6,  1.4, 0.89, 1.64
0.8,  1.4, 1.11, 1.71
1.0,  1.4, 1.31, 1.73
1.2,  1.4, 1.45, 1.81
1.4,  1.4, 1.57, 1.83
0.1 , 1.2, 0.35, 1.20
0.15, 1.2, 0.47, 1.21
0.2,  1.2, 0.53, 1.27
0.3,  1.2, 0.64, 1.33
0.4,  1.2, 0.72, 1.42
0.6,  1.2, 0.91, 1.44
0.8,  1.2, 1.09, 1.46
1.0,  1.2, 1.27, 1.51
1.2,  1.2, 1.46, 1.53
1.4,  1.2, 1.65, 1.56
0.1 , 1.0, 0.34, 0.91
0.15, 1.0, 0.46, 1.00
0.2,  1.0, 0.52, 1.08
0.3,  1.0, 0.61, 1.17
0.4,  1.0, 0.69, 1.19
0.6,  1.0, 0.89, 1.24
0.8,  1.0, 1.07, 1.26
1.0,  1.0, 1.25, 1.28
1.2,  1.0, 1.44, 1.29
1.4,  1.0, 1.63, 1.30
0.15, 0.8, 0.45, 0.86
0.2,  0.8, 0.51, 0.88
0.3,  0.8, 0.61, 0.93
0.4,  0.8, 0.68, 0.99
0.6,  0.8, 0.88, 1.02
0.8,  0.8, 1.04, 1.05
1.0,  0.8, 1.24, 1.06
1.2,  0.8, 1.40, 1.08
1.4,  0.8, 1.59, 1.10
0.15, 0.6, 0.41, 0.62
0.2,  0.6, 0.49, 0.66
0.3,  0.6, 0.58, 0.74
0.4,  0.6, 0.67, 0.80
0.6,  0.6, 0.87, 0.83
0.8,  0.6, 1.02, 0.83
1.0,  0.6, 1.22, 0.86
1.2,  0.6, 1.36, 0.87
1.4,  0.6, 1.58, 0.86
0.15, 0.4, 0.36, 0.42
0.2,  0.4, 0.46, 0.47
0.3,  0.4, 0.50, 0.55
0.4,  0.4, 0.64, 0.58
0.6,  0.4, 0.83, 0.62
0.8,  0.4, 0.97, 0.64
1.0,  0.4, 1.15, 0.64
1.2,  0.4, 1.32, 0.64
1.4,  0.4, 1.54, 0.67
0.2,  0.3, 0.37, 0.39
0.3,  0.3, 0.50, 0.45
0.4,  0.3, 0.61, 0.49
0.6,  0.3, 0.79, 0.52
0.8,  0.3, 0.97, 0.53
1.0,  0.3, 1.15, 0.55
1.2,  0.3, 1.30, 0.56
1.4,  0.3, 1.49, 0.56
0.3,  0.2, 0.38, 0.34
0.4,  0.2, 0.53, 0.37
0.6,  0.2, 0.71, 0.40
0.8,  0.2, 0.91, 0.43
1.0,  0.2, 1.08, 0.44
1.2,  0.2, 1.27, 0.45
1.4,  0.2, 1.43, 0.45
0.4,  0.15, 0.43, 0.31
0.6,  0.15, 0.66, 0.35
0.8,  0.15, 0.87, 0.36
1.0,  0.15, 1.01, 0.37
1.2,  0.15, 1.21, 0.37
1.4,  0.15, 1.41, 0.38
1.0,  0.1, 0.92, 0.30
1.2,  0.1, 1.12, 0.29
1.4,  0.1, 1.31, 0.30
